Index,Category,Claim
58,Virus origin and properties,This type of Covid started in animals
59,Virus origin and properties,Many people are asymptomatic when they get Covid
60,Medical advice and self-treatments,Alcohol solutions can deactivate the virus on surfaces
61,"Vaccines, medical treatments, and tests",Coartem is not a COVID treatment
62,,"Chinese state media claims Ghana’s coronavirus cases have surpassed 9,000, with over 400 deaths.		"
63,,"ICMR issued a report claiming the number of people infected with thte coronavirus increased up to 8 Lakh if india did not announce a lockdown.		"
64,"Public preparedness, protests, and civil disobedience","Hindu man in Rajasthan killed by Muslims amidst lockdown.		"
65,"Public preparedness, protests, and civil disobedience","A WhatsApp forward, along with a video, is doing the rounds in which it is claimed that a person who belongs to the Tablighi Jamaat was kept in an isolation ward where he started wandering naked. The viral forward also claims that the person who was wandering naked did this vulgar act intentionally.                "
66,"Public authority actions, policy, and communications","Industrialist Ratan Tata’s view on economic downfall due to COVID-19.		"
67,Medical advice and self-treatments,"Mustard oil can kill coronavirus.		"
68,Community spread and impact,"Photograph of a rail track from Colombo filled with wild-flowers during current curfew period in Sri Lanka.		"
69,Community spread and impact,"Dr. Vandana Tiwari, part of the team investigating and identifying attendees of Tablighi Jamaat in U.P’s Bareilly who were attacked by them succumbed to her injuries today		"
70,Virus transmission,"Rs 2000 notes scattered in Delhi to spread Coronavirus infection.		"
71,Medical advice and self-treatments,"Israel has no deaths from COVID-19; tea made of lemon and bicarbonate can cure coronavirus.		"
72,Community spread and impact,"Website link in order to activate 100 GB Free Internet Data & Rs.500 Talk time offer amid the COVID19 situation in Sri Lanka.		"
73,Virus transmission,"Some Countries are dumping COVID-19 infected dead bodies in the sea, therefore be careful while consuming sea food.		"
74,Virus origin and properties,"Dr.Charles Lieber, chair of Harvard University’s Chemistry and Chemical Biology Department was arrested for manufacturing and selling the Coronavirus to China.		"
75,Community spread and impact,"A Facebook user shared a video that shows dead bodies being washed ashore at some unidentified beach.		"
76,"Public authority actions, policy, and communications","Indian government will reduce employees’ pension by 30% and terminate pensions offered to those who are above 80 as a way to divert funds towards managing health services and tackling the adverse impact of the new coronavirus pandemic.		"
77,Medical advice and self-treatments,"The new coronavirus pH varies from 5.5 to 8.5. To defeat it, we need to consume more alkaline food.		"
78,Community spread and impact,"Herd of Sri Lankan Sambar Deer’s were seen freely gazing on a beach of Yala National Park, due to lack of human activity during current curfew period in Sri Lanka.		"
79,Community spread and impact,"31 coronavirus patients have recovered in Ghana.		"
80,"Public authority actions, policy, and communications","Indian government deploying the army in Telangana to curb the coronavirus situation		"
81,Community spread and impact,"Family starving for food commits suicide in India during lockdown.		"
82,"Public authority actions, policy, and communications","All social media group admins are requested to close their groups for two days.		"
83,"Public preparedness, protests, and civil disobedience","American citizens have placed a nude statue of President Donald Trump in New York City because he failed to handle the coronavirus situation in USA.		"
84,Community spread and impact,"In Karnataka all Hindus have decided to boycott Muslims because of their anti-national activities.		"
85,Conspiracy theories,"A video shows a fortune teller predicting the coronavirus pandemic in December on Spanish TV.		"
86,Virus origin and properties,"A video shows that after drinking snake blood during training in Thailand, US soldiers went to Wuhan for the Military World Games. The US soldiers were the intermediate hosts of COVID-19.		"
87,Claims about prominent actors,"President of Sri Lanka has contracted COVID-19.		"
88,Community spread and impact,"A video of dozens of people praying outdoors shows Italians praying during the novel coronavirus pandemic.		"
89,"Public authority actions, policy, and communications","Some countries are throwing away bodies of coronavirus patients into the sea.		"
90,"Public authority actions, policy, and communications","A post says that Barack Obama warned Africans not to accept European or American vaccines.		"
91,"Public authority actions, policy, and communications","Black body bags being referred to as deaths in New York and the reason a lockdown is essential.		"
92,Virus transmission,"Muslim owned restaurants in Bengaluru have chefs brainwashed by Markaz attendees and are spreading Coronavirus by spitting in the food.		"
93,Community spread and impact,"Social media accounts purporting to represent the Nigeria Centre for Disease Control have proliferated since February, when Africa’s most populous country recorded its first case of COVID-19.		"
94,Conspiracy theories,"5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.		"
95,"Public authority actions, policy, and communications","Barack Obama warned Africans against vaccines from America and Europe.		"
96,Conspiracy theories,"Coronavirus will be exterminated if lockdowns are lifted.		"
97,"Public authority actions, policy, and communications","The number of deaths from COVID-19 are exaggerated.		"
98,"Public authority actions, policy, and communications","A Dutch minister said that “giving money to Portuguese politicians is like putting a cat in a sardines basket”.		"
99,Claims about prominent actors,"A member of Tablighi Jamaat is roaming naked and misbehaving with hospital staff.		"
100,"Public authority actions, policy, and communications","A 24-hour COVID-19 hotline offers essential food items during curfew in Sri Lanka.		"
101,"Public authority actions, policy, and communications","A photo has been shared hundreds of times in multiple posts on Facebook and Twitter which claim it shows that packets of spice included in Sri Lankan government ration kits during the COVID-19 lockdown were branded with a local political party’s logo. The posts allege that the photo is evidence vulnerable people are being exploited during the pandemic for political gain.		"
102,"Public authority actions, policy, and communications","As a special task force assembled earlier this month to help in the handling of the COVID-19 outbreak, a photo of a tank on Toronto’s Dundas Square surfaced on social media.		"
103,Virus transmission,"Video of bodies being washed ashore being shared as countries dumping their coronavirus bodies into the sea and thus requesting people to avoid sea food.		"
104,Claims about prominent actors,"The Gandhi siblings- Priyanka and Rahul broke down the lockdown enforced in India and were roaming around.		"
105,"Public authority actions, policy, and communications","A graphic has been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim that it contains a quote from Britain’s Queen Elizabeth in which she praises Philippine President Rodrigo Duterte for his efforts to curb the novel coronavirus pandemic. The posts allege that the queen made the remarks during her televised speech on 4/6/20.		"
106,Community spread and impact,"Owing to India lighting diyas on April 5, a satellite captured India as illuminated while the world was in darkness.		"
107,"Public authority actions, policy, and communications","The WHO has issued a protocol for lockdown extension providing a relaxation period of five days.		"
108,"Public authority actions, policy, and communications","Queen Elizabeth said Philippine President Rodrigo Duterte “is the kind of leader who knows the way … Filipinos are very lucky to have him.”		"
109,"Public authority actions, policy, and communications","“The North Carolina and Virginia State line is closed. Nothing in or out.”		"
110,Community spread and impact,"A man in Italy killed himself after he lost his family to the coronavirus.		"
111,Medical advice and self-treatments,"“59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.”		"
112,Community spread and impact,"A video of fire is shared with the claim that a fire erupted at Solapur Airport in Maharashtra state due to firecrackers on 4/5/20 at 9p.m.		"
113,"Public authority actions, policy, and communications","The Disaster Management Act has been implemented across India. As per the act, apart from the government departments, no other citizen is allowed to post or share any forward related to the novel coronavirus.		"
114,"Public authority actions, policy, and communications","A claim has been shared thousands of times on Facebook and Twitter in Sri Lanka that the ruler of Sharjah, one of the seven emirates of the United Arab Emirates (UAE), banned burials of people who died after contracting the novel coronavirus.		"
115,Community spread and impact,"Amid COVID-19 lockdown, the Himalayan Mountain Range is visible from the Puttalam area in Sri Lanka.		"
116,Conspiracy theories,"A poem about people staying home was written by Kathleen O’Mara in 1869.		"
117,"Public authority actions, policy, and communications","Hospital is caught using a dummy in pandemic footage.		"
118,Conspiracy theories,"Photo of a mannequin being wheeled into a hospital shows the COVID-19 coverup.		"
119,Virus transmission,"Video suggesting that a man is spitting on bread to spread coronavirus.		"
120,Claims about prominent actors,"Former NYC Mayor Rudolph Giuliani said he “bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine” in early February.		"
121,Conspiracy theories,"Coronavirus is fake or a made-up ploy by 5G.		"
122,Community spread and impact,"A video has been viewed tens of thousands of times in multiple posts on Facebook, Weibo and Twitter that claim it shows people who committed suicide in the U.S. after contracting COVID-19.		"
123,Community spread and impact,"“In Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.”		"
124,Claims about prominent actors,"This is the video of Congress leaders Rahul and Priyanka Gandhi breaking coronavirus lockdown by stepping out.		"
125,"Public authority actions, policy, and communications","Coronavirus death toll in the U.S. is inflated by inclusion of unrelated deaths.		"
126,"Public preparedness, protests, and civil disobedience","People are handing out masks “doused with chemicals which knocks you out cold” so they can rob you.		"
127,Claims about prominent actors,"The NBA is asking President Donald Trump to “resign or we’ll never play again.”		"
128,"Public preparedness, protests, and civil disobedience","A viral video showing some men assaulting a policeman is being shared with the claim that it is from Agripada, Mumbai (Indiaa).		"
129,"Public authority actions, policy, and communications","Sri Lankan police made an announcement stating that citizens are not allowed to post any update or share any forward related to coronavirus and it being a punishable offense.		"
130,"Public authority actions, policy, and communications","President Donald Trump’s statement that lupus patients are not vulnerable to COVID-19 is not true.		"
131,Claims about prominent actors,"Barack Obama has urged Africans to reject any COVID-19 vaccine produced by the United States and Europe.		"
132,"Public authority actions, policy, and communications","China supplied 2 million masks to Africa; WHO says Africa must (should) prepare for the worst; China plans to distribute “infected” masks.		"
133,Community spread and impact,"Brazilians lighting candles after PM Modi’s call to stand in solidarity against the coronavirus.		"
134,Conspiracy theories,"A poem about people self-isolating at home has been shared thousands of times on Facebook and Twitter in April 2020 alongside a claim that it was written in the 19th century and reprinted during the 1918 Spanish flu pandemic. The posts, published as the world continued to endure the spread of the novel coronavirus, claim the poem is evidence that “history repeats itself.”		"
135,Community spread and impact,"Photo of an Italian doctor waving goodbye to co-doctors as he is about to die due to coronavirus.		"
136,Virus transmission,"A claim that data from a hospital in the Philippines shows a correlation between grocery shopping and COVID-19 has been shared more than 1,000 times on Facebook and Twitter.		"
137,"Public authority actions, policy, and communications","Video posts viewed thousands of times purport to show South Africa’s President Cyril Ramaphosa announcing an alleged 81-day lockdown.		"
138,Virus transmission,"A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India.		"
139,Claims about prominent actors,"Ten-point bulletin message purported to be from President Gotabaya to be followed during COVID-19 outbreak.		"
140,"Public authority actions, policy, and communications","A photo of a Sri Lankan military hospital has been shared thousands of times in multiple Facebook posts alongside a claim that it has been reserved exclusively for the use of “VIPs” who test positive for COVID-19, the disease caused by the novel coronavirus.		"
141,Virus transmission,"A viral screenshot of a story allegedly published by the BBC claiming Ghana has recorded its first confirmed coronavirus case.		"
142,Community spread and impact,"A photo of a man and woman embracing has been shared on Facebook and Twitter alongside a claim that it shows two Italian doctors who died from COVID-19 after contracting the disease from the patients they treated.		"
143,"Public preparedness, protests, and civil disobedience","Posts shared thousands of times on Facebook claim to provide an emergency food stamp hotline.		"
144,Community spread and impact,"A claim that 500 body bags were delivered to an ice skating rink outside the Australian city of Adelaide has been shared widely on Facebook during the novel coronavirus pandemic.		"
145,Medical advice and self-treatments,"Homemade masks prevent the spread of coronavirus.		"
146,"Vaccines, medical treatments, and tests","Multiple Facebook and Twitter posts shared thousands of times by Australian social media users claim people with pre-existing respiratory conditions will be given a “rescue pack” of medication from their general practitioners during the novel coronavirus pandemic.		"
147,Claims about prominent actors,"Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.		"
148,"Public authority actions, policy, and communications","A video of food packets deposited on a street has been viewed millions of times on Facebook, Twitter and YouTube alongside a claim it shows food donations for people in Turkey during a novel coronavirus lockdown.		"
149,"Public authority actions, policy, and communications","A claim that police in Thailand can issue fines to anyone who does not wear a face mask in public during the novel coronavirus pandemic has been shared repeatedly on Facebook, Twitter and Line Messenger.		"
150,Community spread and impact,"A video shows a truck dropping bodies covered with plastic into a ditch and claiming that this is the situation in Italy right now.		"
151,Community spread and impact,"U.S. President Donald Trump or presidential candidate Joe Biden referred to the novel coronavirus pandemic as a time when “people are dying that have never died before.”		"
152,Claims about prominent actors,"Social activist Trupti Desai was caught illegally buying liquor during the lockdown and was detained by the police.		"
153,Community spread and impact,"Posts shared more than 20,000 times on Facebook feature a photo of a crying child and two others showing a woman and a man in hospital beds, claiming that the boy’s parents are infected with the novel coronavirus		"
154,Conspiracy theories,"Posts on social media claim there is a US patent for the novel coronavirus and a European patent for a vaccine, citing specific patent numbers.		"
155,Medical advice and self-treatments,"Facebook posts shared thousands of times recommend various practices to prevent COVID-19, including gargling salt water, drinking tea and avoiding ice cream.		"
156,Community spread and impact,"Image of a herd of deer sitting on a street interpreted as different locations in Sri Lanka and India.		"
157,Community spread and impact,"“if your child gets this virus, they’re going to the hospital alone in a van with people they don’t know, to be with people they don’t know. You will be at home without them in their time of need.”		"
158,Claims about prominent actors,"“They’re furloughing nurses in hospitals in western New York state.”		"
159,"Vaccines, medical treatments, and tests","A Facebook post in Australia claims sufferers of respiratory conditions can access a “rescue pack” of medication by asking a general practitioner.		"
160,Claims about prominent actors,"“Queen Elizabeth tests positive for COVID-19.”		"
161,"Public authority actions, policy, and communications","Posting anything on coronavirus will be a punishable offense because the Disaster Management Act has been implemented.		"
162,"Public authority actions, policy, and communications","18 nations, including the US and the UK, want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic.		"
163,Medical advice and self-treatments,"Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks “everywhere.”		"
164,Claims about prominent actors,"Trupti Desai, a well known social activist from India, was arrested for illegally buying liquor during the COVID-19 lockdown.		"
165,"Public authority actions, policy, and communications","The Disaster Management Act 2005 is going to be implemented in India; no citizen is allowed to post any update or share any forward related to COVID-19.		"
166,"Vaccines, medical treatments, and tests","It is predicted that using Turmeric can cure coronavirus in India in a newborn baby suffering from birth defects.		"
167,"Public authority actions, policy, and communications","Indian state of Madhya Pradesh’s government has issued an order to shoot at sight due to failure at lockdown implementation.		"
168,Medical advice and self-treatments,"Rubbing mustard oil on your nostrils can prevent coronavirus.		"
169,"Public authority actions, policy, and communications","PM Modi on 4/2/20 announced extension of a nationwide lockdown until 5/4/20.		"
170,Claims about prominent actors,"Italian Prime Minister Giuseppe Conte broke down amid COVID-19 deaths in his country.		"
171,Claims about prominent actors,"The WHO reported that coronavirus lasts up to 8 hours on cabbages; thus, cabbage consumption should be restricted.		"
172,"Public authority actions, policy, and communications","PM Modi announced internet suspension due to viral fake news related to COVID-19.		"
173,Virus origin and properties,"A claim has circulated on social media that a “new virus” named hantavirus has emerged in China in March 2020. The posts were viewed hundreds of thousands of times as the world battled the spread of the novel coronavirus, which causes the disease COVID-19.		"
174,Virus origin and properties,"A photo of a group of people holding a banner that bears the Chinese and Malaysian flags has been shared thousands of times on Facebook and Twitter alongside a claim it shows Chinese doctors arriving in Malaysia to combat the novel coronavirus, COVID-19.		"
175,Community spread and impact,"A post has been shared multiple times on Facebook in March 2020 that claims China and Japan are “free” of the novel coronavirus, which causes the disease COVID-19.		"
176,Community spread and impact,"People in Italy are throwing money on the road because they are saddened by the fact that all the money in the world could not save their dear ones.		"
177,Community spread and impact,"A video has been viewed thousands of times in multiple posts on Facebook which claim it shows bodies of novel coronavirus victims being thrown into a ditch in Italy.		"
178,Virus transmission,"A claim that a trolley collector at a supermarket in the Australian state of New South Wales tested positive for the novel coronavirus in March 2020 has been shared hundreds of times in multiple posts on Facebook.		"
179,Community spread and impact,"An image of a doctor goes viral with the claim that Dr. Usman Riyaz died while treating coronavirus patients in Delhi, India.		"
180,"Public authority actions, policy, and communications","Russia released 500 lions to ensure people would stay inside houses.		"
181,Medical advice and self-treatments,"High death rate in Italy is due to people taking Ibuprofen.		"
182,Community spread and impact,"Italians throwing money on streets amid COVID-19 crisis.		"
183,Claims about prominent actors,"Myanmar president and state counselor are under 14 days quarantine after meeting with a COVID-19 patient from Switzerland.		"
184,Community spread and impact,"Last picture of Indonesian Dr. Hadio Alo bidding farewell to his family.		"
185,Claims about prominent actors,"Former MP Bimal Rathnayake made a comment stating that deceased Muslims from COVID-19 should be buried as per their customs and not cremated.		"
186,"Public authority actions, policy, and communications","Students in America have to repeat the same grade next year.		"
187,"Public authority actions, policy, and communications","President Donald Trump will announce that a scientist “finally found a vaccine to cure coronavirus.”		"
188,Community spread and impact,"Video of a waitress saying, “I lost my job. But I’ll sleep better knowing” that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries: “Thanks, Democrats.”		"
189,Community spread and impact,"North Carolina “hospital beds are typically 85% full across the state.”		"
190,Medical advice and self-treatments,"Should you take Ibuprofen to treat a fever from the coronavirus?		"
191,Virus transmission,"“We’ve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.”		"
192,Claims about prominent actors,"Italian Prime Minister Giuseppe Conte said, “We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the sky. God, rescue your people.”		"
193,Claims about prominent actors,"Ron Johnson said Americans should go back to work, because “death is an unavoidable part of life.”		"
194,"Public authority actions, policy, and communications","People will not be allowed to organize a funeral for any family members who die of COVID-19. Instead, the state will take care of the disposal of the body.		"
195,Community spread and impact,"Doctors and nurses in Italy are dying and are lying dead on the ground due to the coronavirus outbreak.		"
196,"Public authority actions, policy, and communications","The army is patrolling all the streets, towns and villages in Ireland.		"
197,Medical advice and self-treatments,"If you can hold your breath for more than 10 seconds, you are not infected by coronavirus.		"
198,Medical advice and self-treatments,"Leaving half an onion in your home will “catch” the coronavirus and prevent people from getting it.		"
199,"Public authority actions, policy, and communications","The Irish Prime Minister/Taoiseach Leo Varadkar has urged people not to use the Houseparty video messaging app due to security concerns.		"
200,"Public authority actions, policy, and communications","In India starting 3/24/20, all grocery, chemists and vegetable shops will be open from 9.00 am to 11.30 am and 4.30 pm to 7.00 pm. Anybody found moving around after this or opening any kind of outlet will be detained by the police. No home deliveries will be available.		"
201,"Public authority actions, policy, and communications","Russian government has unleashed lions on the streets to impose a public curfew.		"
202,"Vaccines, medical treatments, and tests","American scientists have developed a cure for the coronavirus.		"
203,Community spread and impact,"A video is going viral on WhatsApp and Sharechat claiming that the man and woman in the video are doctors who treated 75 coronavirus patients and now they both are infected by it.		"
204,Community spread and impact,"People in Italy have thrown all of their money on the roads outside saying that this money is useless to save them from death.		"
205,"Public authority actions, policy, and communications","Sri Lanka’s KDU hospital will be dedicated to treat only VIP COVID-19 patients.		"
206,"Public authority actions, policy, and communications","Post claiming that a nationwide committee to prevent, control and treat COVID-19 led by Myanmar state counselor was dissolved.		"
207,"Vaccines, medical treatments, and tests","No deaths have been reported in Israel due to COVID-19 because they have found a cure for the disease. A solution of hot water, baking soda and lemon is the cure for COVID-19.		"
208,Virus transmission,"Muslims intentionally licking the cutlery and plates to spread COVID-19.		"
209,Virus transmission,"A group of Muslim boys licking utensils to spread coronavirus.		"
210,Virus transmission,"A video has been viewed in multiple Facebook posts and claims to show a man wiping his sweat on the buttons of a lift in a residential block in Hong Kong.		"
211,Community spread and impact,"Italians bidding goodbye to the world because of coronavirus.		"
212,Community spread and impact,"A photo has been shared in multiple posts on Facebook and Twitter alongside a claim it shows the bodies of people who died in Italy after they became infected with the novel coronavirus, COVID-19.		"
213,Claims about prominent actors,"Multiple news reports circulating in Nigeria claim that Buckingham Palace has announced Britain’s Queen Elizabeth tested positive for COVID-19.		"
214,"Vaccines, medical treatments, and tests","Boil weed and ginger for COVID-19 victims, and the virus will vanish.		"
215,Community spread and impact,"People in Italy are threw away their money after they lost their family members to coronavirus.		"
216,"Public authority actions, policy, and communications","The Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.		"
217,Community spread and impact,"The lockdown due to coronavirus has led to the reemergence of a large flock of birds at the riverfront in Ahmedabad.		"
218,Claims about prominent actors,"Two audio clips stating that the Mumbai police commissioner is going to enforce strict actions during the 21-day lockdown in India and that there will be a spike in cases after March 27, 2020.		"
219,"Public authority actions, policy, and communications","India has decided to extend its financial year to July 1 due to the current COVID-19 outbreak.		"
220,Medical advice and self-treatments,"A claim on Facebook that began to circulate around Wednesday, 3/25/20, says putting a peeled onion in any room can remove “all viruses and bacteria including coronavirus.”		"
221,"Public authority actions, policy, and communications","WhatsApp group admins were detained for sharing coronavirus messages in Dadar, Mumbai.		"
222,Conspiracy theories,"Health care workers union “suddenly finds a stash of 39 million face masks.”		"
223,"Public authority actions, policy, and communications","In the Philippines, Senator Manny Pacquiao was the only senator who responded to the coronavirus crisis.		"
224,Community spread and impact,"Video clip of a massive stadium converted into a graveyard claimed to be scenes from Italy related to the ongoing COVID-19 outbreak.		"
225,Conspiracy theories,"Marathi newspaper reports a conspiracy theory of coronavirus being a bioweapon.		"
226,"Public authority actions, policy, and communications","The Indian Army has been called to control seven areas in Mumbai that are not following the 21 day lockdown and are out of the Mumbai police’s control.		"
227,Claims about prominent actors,"Myanmar’s former military junta donated Ks 1000 Lakhs to COVID-19 fund.		"
228,Community spread and impact,"Video of police roughing up civilians claimed to be police in Spain enforcing a lockdown.		"
229,"Vaccines, medical treatments, and tests","There is now a COVID-19 cure from the USA.		"
230,Community spread and impact,"Viral video shows a man having great difficulty breathing. Even the medical team keeps a safe distance from this man. These videos are shared as a patient suffering from COVID-19.		"
231,Medical advice and self-treatments,"pH level of coronavirus varies from 5.5 to 8.5 and to beat the virus, we should consume more alkaline food.		"
232,"Public authority actions, policy, and communications","A post on Facebook and Twitter claims an official advisory was issued by Singapore’s Ministry of Health about the first symptoms of the novel coronavirus.		"
233,Medical advice and self-treatments,"A video has been have been viewed thousands of times on Facebook alongside a claim it shows how to make a hand sanitiser that is effective in protecting against the novel coronavirus, COVID-19. The video appears to show someone mixing rum, bleach and fabric softener in a bottle before rubbing the solution on their hands.		"
234,"Public authority actions, policy, and communications","A video of police arresting a man has been viewed thousands of times on Facebook and Twitter alongside a claim it shows police in Italy detaining a man who flouted a national lockdown during the novel coronavirus pandemic.		"
235,"Vaccines, medical treatments, and tests","A post shared repeatedly on WhatsApp and Facebook claims a Chinese doctor has discovered that drinking tea is effective in curing and relieving symptoms of the novel coronavirus, COVID-19.		"
236,"Public authority actions, policy, and communications","A screenshot of a World Health Organization (WHO) webpage has been shared in multiple posts on Facebook, Twitter and messaging app Line alongside a claim it shows international health authorities raised Thailand’s pandemic stage to a “level 4” during the novel coronavirus crisis.		"
237,"Public authority actions, policy, and communications","A claim has been shared thousands of times in multiple posts on Facebook and Twitter that an emergency decree issued in Thailand due to the novel coronavirus pandemic included a strict curfew.		"
238,"Vaccines, medical treatments, and tests","Lemon and bicarbonate can cure coronavirus.		"
239,"Public authority actions, policy, and communications","A web publication shared hundreds of times on Facebook, Twitter and WhatsApp in Nigeria claims the government will pay each citizen 8,500 naira ($23.60) monthly to encourage Nigerians to stay at home in a bid to slow down the spread of the novel coronavirus.		"
240,Community spread and impact,"Videos of a patient gasping for breath is shown as a patient from India.		"
241,"Public authority actions, policy, and communications","Multiple posts on social media claim that schools in South Africa will reopen months from now in September, as a result of the increase in COVID-19 cases.		"
242,Medical advice and self-treatments,"Inhaling the steam from boiled water with dissolved salt is an effective cure for COVID-19, the disease caused by the novel coronavirus.		"
243,Community spread and impact,"Coronavirus patients in Italy are now on the streets because hospitals are no longer able to accommodate them.		"
244,Medical advice and self-treatments,"Keeping your throat moist will wash the coronavirus down to your stomach where the virus will die.		"
245,Community spread and impact,"A photo making the rounds on social media claims to show people who have died from the coronavirus in Italy.		"
246,Virus transmission,"WHO has said, do not eat cabbage as it will increase the chance of coronavirus infection.		"
247,Conspiracy theories,"Not a single Muslim died of coronavirus in China.		"
248,"Vaccines, medical treatments, and tests","Drinking bitter gourd juice cures the coronavirus.		"
249,Claims about prominent actors,"Nevada Governor Steve Sisolak “has banned the use of an anti-malaria drug that might help cure coronavirus.”		"
250,Virus origin and properties,"Ibuprofen ramps up coronavirus 10 times.		"
251,Claims about prominent actors,"Speaking of his restriction on travel from China, President Donald Trump claims: “I had (Joe) Biden calling me xenophobic … He called me a racist, because of the fact that he felt it was a racist thing to stop people from China coming in.”		"
252,Claims about prominent actors,"President Donald Trump claims he “didn’t say that” some of the medical equipment that governors are requesting, they don’t actually need.		"
253,Conspiracy theories,"“COVID literally stands for Chinese Originated Viral Infectious Disease.”		"
254,Claims about prominent actors,"Nancy Pelosi tried to secure taxpayer funds for abortion through a coronavirus bill.		"
255,Conspiracy theories,"Says imposters in hazmat suits are going door to door in Stockton, California, saying they are checking residents for fever or COVID-19, but they “will enter your home and physically attempt robbery.”		"
256,"Public authority actions, policy, and communications","Lions were released on Russian streets by Vladimir Putin to force people inside.		"
