,Category,Claim,Debunk_Date,Label,Source,Keywords,bow
15,Virus origin and properties,less common symptom of covid is chills dizziness,23/11/2020,True,WHO,"['common', 'symptom', 'covid', 'chill', 'dizziness']","{'symptom': 1, 'common': 1}"
16,Virus origin and properties,severe covid symptom   shortness of breath,23/11/2020,True,WHO,"['severe', 'covid', 'symptom', 'shortness', 'breath']","{'symptom': 1, 'breath': 1, 'sever': 1}"
17,Virus origin and properties,severe covid symptom   loss of appetite,23/11/2020,True,WHO,"['severe', 'covid', 'symptom', 'loss', 'appetite']","{'symptom': 1, 'sever': 1}"
18,Virus origin and properties,severe covid symptom   confusion,23/11/2020,True,WHO,"['severe', 'covid', 'symptom', 'confusion']","{'symptom': 1, 'sever': 1}"
19,Virus origin and properties,severe covid symptom   persistent pain pressure on chest,23/11/2020,True,WHO,"['severe', 'covid', 'symptom', 'persistent', 'pain', 'pressure', 'chest']","{'symptom': 1, 'sever': 1}"
20,Virus origin and properties,severe covid symptom   high fever,23/11/2020,True,WHO,"['severe', 'covid', 'symptom', 'high', 'fever']","{'fever': 1, 'symptom': 1, 'sever': 1, 'high': 1}"
21,Virus origin and properties,    of people diagnosed with covid recover,23/11/2020,True,WHO,"['people', 'diagnosed', 'covid', 'recover']",{'diagnos': 1}
22,Virus origin and properties,children can develop an inflammatory syndrome weeks after covid infection,23/11/2020,True,WHO,"['child', 'develop', 'inflammatory', 'syndrome', 'week', 'covid', 'infection']","{'child': 1, 'develop': 1, 'infect': 1, 'syndrom': 1, 'week': 1}"
23,Virus origin and properties,complications of covid   respiratory failure,23/11/2020,True,WHO,"['complication', 'covid', 'respiratory', 'failure']","{'complic': 1, 'respiratori': 1}"
24,Virus origin and properties,complications of covid   acute respiratory distress syndrome,23/11/2020,True,WHO,"['complication', 'covid', 'acute', 'respiratory', 'distress', 'syndrome']","{'syndrom': 1, 'complic': 1, 'respiratori': 1}"
25,Virus origin and properties,complications of covid   sepsis   septic shock,23/11/2020,True,WHO,"['complication', 'covid', 'sepsis', 'septic', 'shock']",{'complic': 1}
26,Virus origin and properties,complications of covid   thromboembolism,23/11/2020,True,WHO,"['complication', 'covid', 'thromboembolism']",{'complic': 1}
27,Virus origin and properties,complications of covid   multiorgan failure,23/11/2020,True,WHO,"['complication', 'covid', 'multiorgan', 'failure']",{'complic': 1}
28,Virus origin and properties,people over    are high risk,23/11/2020,True,WHO,"['people', 'high', 'risk']","{'high': 1, 'risk': 1}"
29,Virus origin and properties,people with underlying medical problems are high risk,23/11/2020,True,WHO,"['people', 'underlying', 'medical', 'problem', 'high', 'risk']","{'high': 1, 'risk': 1, 'medic': 1}"
30,Virus origin and properties,high blood pressure  heart problems  lung problems  obesity  cancer  immunity issues,23/11/2020,True,WHO,"['high', 'blood', 'pressure', 'heart', 'problem', 'lung', 'problem', 'obesity', 'cancer', 'immunity', 'issue']","{'high': 1, 'blood': 1, 'immun': 1, 'issu': 1}"
31,Virus origin and properties,covid has no long term effects in some cases,23/11/2020,True,WHO,"['covid', 'long', 'term', 'effect', 'case']","{'case': 1, 'effect': 1}"
32,Virus origin and properties,covid gives chronic fatigue in some cases,23/11/2020,True,WHO,"['covid', 'give', 'chronic', 'fatigue', 'case']","{'case': 1, 'give': 1}"
33,Virus transmission,physical distancing  masks  ventilation in rooms  personal hygiene ,23/11/2020,True,WHO,"['physical', 'distancing', 'mask', 'ventilation', 'room', 'personal', 'hygiene']","{'mask': 1, 'person': 1, 'room': 1, 'ventil': 1}"
34,"Vaccines, medical treatments, and tests",having symptoms   get tested,23/11/2020,True,WHO,"['symptom', 'tested']","{'symptom': 1, 'test': 1}"
35,"Vaccines, medical treatments, and tests",while waiting for a test result  you should isolate,23/11/2020,True,WHO,"['waiting', 'test', 'result', 'isolate']","{'test': 1, 'isol': 1, 'result': 1}"
36,"Vaccines, medical treatments, and tests",pcr is a molecular test,23/11/2020,True,WHO,"['molecular', 'test']",{'test': 1}
37,"Vaccines, medical treatments, and tests",test samples are collected from the throat and nose ,23/11/2020,True,WHO,"['test', 'sample', 'collected', 'throat', 'nose']","{'test': 1, 'nose': 1}"
38,"Vaccines, medical treatments, and tests",tests confirm an active infection  within the first few days of exposure,23/11/2020,True,WHO,"['test', 'confirm', 'active', 'infection', 'within', 'first', 'exposure']","{'infect': 1, 'test': 1, 'confirm': 1, 'first': 1, 'within': 1}"
39,"Vaccines, medical treatments, and tests",antigen tests are less accurate,23/11/2020,True,WHO,"['antigen', 'test', 'accurate']",{'test': 1}
40,"Vaccines, medical treatments, and tests",antigen tests are best when the individual is most infectious ,23/11/2020,True,WHO,"['antigen', 'test', 'best', 'individual', 'infectious']","{'test': 1, 'infecti': 1}"
41,"Vaccines, medical treatments, and tests",antibody tests do not diagnose covid,23/11/2020,True,WHO,"['antibody', 'test', 'diagnose', 'covid']","{'diagnos': 1, 'test': 1}"
42,"Vaccines, medical treatments, and tests",antibody tests tell if you had covid in the past,23/11/2020,True,WHO,"['antibody', 'test', 'tell', 'covid', 'past']",{'test': 1}
43,"Vaccines, medical treatments, and tests",quarantine means separating from others because you have been close to an infected person,23/11/2020,True,WHO,"['quarantine', 'mean', 'separating', 'others', 'close', 'infected', 'person']","{'infect': 1, 'person': 1, 'close': 1, 'mean': 1, 'other': 1, 'quarantin': 1}"
44,"Vaccines, medical treatments, and tests",isolation means you have tested positive and need to be isolated from others,23/11/2020,True,WHO,"['isolation', 'mean', 'tested', 'positive', 'need', 'isolated', 'others']","{'test': 1, 'isol': 2, 'mean': 1, 'other': 1, 'need': 1, 'posit': 1}"
45,"Vaccines, medical treatments, and tests",it takes     days to develop symptoms ,23/11/2020,True,WHO,"['take', 'develop', 'symptom']","{'symptom': 1, 'develop': 1, 'take': 1}"
46,"Vaccines, medical treatments, and tests",isolation should last    days if tested positive,23/11/2020,True,WHO,"['isolation', 'last', 'tested', 'positive']","{'test': 1, 'isol': 1, 'posit': 1, 'last': 1}"
47,"Vaccines, medical treatments, and tests",covid vaccines   astrazeneca  moderna  pfizer ,23/11/2020,True,WHO,"['covid', 'vaccine', 'astrazeneca', 'moderna', 'pfizer']",{'vaccin': 1}
48,"Vaccines, medical treatments, and tests",vaccines need to be approved by national regulators ,23/11/2020,True,WHO,"['vaccine', 'need', 'approved', 'national', 'regulator']","{'need': 1, 'vaccin': 1, 'approv': 1, 'nation': 1}"
49,"Vaccines, medical treatments, and tests",only astrazeneca has been published in peer reviewed literature ,23/11/2020,True,WHO,"['astrazeneca', 'published', 'peer', 'reviewed', 'literature']",{'publish': 1}
50,"Vaccines, medical treatments, and tests",dexamethasone is an emergency steroid for severly ill covid patients,23/11/2020,True,WHO,"['dexamethasone', 'emergency', 'steroid', 'severly', 'covid', 'patient']","{'emerg': 1, 'patient': 1}"
51,"Vaccines, medical treatments, and tests",remdesivir  hydroxychloroquine  lopinavir ritonavir and interferon regimens are not efficient treatments ,23/11/2020,True,WHO,"['remdesivir', 'hydroxychloroquine', 'lopinavir', 'ritonavir', 'interferon', 'regimen', 'efficient', 'treatment']",{'treatment': 1}
52,"Vaccines, medical treatments, and tests",antibiotics do not work against viruses,23/11/2020,True,WHO,"['antibiotic', 'work', 'virus']","{'viru': 1, 'work': 1}"
53,Virus origin and properties,covid is a virus  not a bacteria,23/11/2020,True,WHO,"['covid', 'virus', 'bacteria']",{'viru': 1}
54,"Vaccines, medical treatments, and tests",anti bacterial treatments are not efficient,23/11/2020,True,WHO,"['anti', 'bacterial', 'treatment', 'efficient']","{'treatment': 1, 'anti': 1}"
55,Virus transmission,covid is spread through respiratory droplets or contact with contaminated surfaces ,23/11/2020,True,WHO,"['covid', 'spread', 'respiratory', 'droplet', 'contact', 'contaminated', 'surface']","{'respiratori': 1, 'contact': 1, 'contamin': 1, 'spread': 1, 'surfac': 1}"
56,Virus transmission,pets can contract covid,,True,MedicalNewsToday,"['contract', 'covid']",{'contract': 1}
57,Medical advice and self-treatments,garlic slows down bacterial growth  not viral,,True,MedicalNewsToday,"['garlic', 'slows', 'bacterial', 'growth', 'viral']","{'garlic': 1, 'viral': 1}"
58,Virus origin and properties,this type of covid started in animals,,True,MedicalNewsToday,"['type', 'covid', 'started', 'animal']","{'anim': 1, 'start': 1}"
59,Virus origin and properties,many people are asymptomatic when they get covid,,True,KCL,"['many', 'people', 'asymptomatic', 'covid']",{'mani': 1}
60,Medical advice and self-treatments,alcohol solutions can deactivate the virus on surfaces,,True,KCL,"['alcohol', 'solution', 'deactivate', 'virus', 'surface']","{'viru': 1, 'surfac': 1, 'alcohol': 1, 'solut': 1}"
61,"Vaccines, medical treatments, and tests",coartem is not a covid treatment,,True,KCL,"['coartem', 'covid', 'treatment']",{'treatment': 1}
62,Other,chinese state media claims ghana s coronavirus cases have surpassed        with over     deaths   ,4/13/2020,False,GhanaFact,"['chinese', 'state', 'medium', 'claim', 'ghana', 'coronavirus', 'case', 'surpassed', 'death']","{'case': 1, 'chines': 1, 'death': 1, 'medium': 1, 'state': 1}"
63,Other,icmr issued a report claiming the number of people infected with thte coronavirus increased up to   lakh if india did not announce a lockdown   ,1/1/2020,False,Vishvas News,"['icmr', 'issued', 'report', 'claiming', 'number', 'people', 'infected', 'thte', 'coronavirus', 'increased', 'lakh', 'india', 'announce', 'lockdown']","{'report': 1, 'infect': 1, 'issu': 1, 'announc': 1, 'increas': 1, 'india': 1, 'lockdown': 1, 'number': 1}"
64,"Public preparedness, protests, and civil disobedience",hindu man in rajasthan killed by muslims amidst lockdown   ,4/11/2020,False,FactCrescendo,"['hindu', 'rajasthan', 'killed', 'muslim', 'amidst', 'lockdown']","{'lockdown': 1, 'kill': 1, 'muslim': 1}"
65,"Public preparedness, protests, and civil disobedience",a whatsapp forward  along with a video  is doing the rounds in which it is claimed that a person who belongs to the tablighi jamaat was kept in an isolation ward where he started wandering naked  the viral forward also claims that the person who was wandering naked did this vulgar act intentionally                 ,4/11/2020,False,Newschecker,"['forward', 'along', 'round', 'claimed', 'person', 'belongs', 'tablighi', 'jamaat', 'kept', 'isolation', 'ward', 'started', 'wandering', 'naked', 'viral', 'forward', 'also', 'claim', 'person', 'wandering', 'naked', 'vulgar', 'intentionally']","{'person': 2, 'isol': 1, 'viral': 1, 'start': 1, 'along': 1, 'also': 1, 'forward': 2}"
66,"Public authority actions, policy, and communications",industrialist ratan tata s view on economic downfall due to covid      ,4/11/2020,False,FactCrescendo,"['industrialist', 'ratan', 'tata', 'view', 'economic', 'downfall', 'covid']","{'econom': 1, 'view': 1}"
67,Medical advice and self-treatments,mustard oil can kill coronavirus   ,4/10/2020,False,Vishvas News,"['mustard', 'kill', 'coronavirus']",{'kill': 1}
68,Community spread and impact,photograph of a rail track from colombo filled with wild flowers during current curfew period in sri lanka   ,4/10/2020,False,FactCrescendo,"['rail', 'track', 'colombo', 'filled', 'wild', 'flower', 'current', 'curfew', 'period', 'lanka']","{'curfew': 1, 'current': 1, 'lanka': 1, 'period': 1}"
69,Community spread and impact,dr  vandana tiwari  part of the team investigating and identifying attendees of tablighi jamaat in u p s bareilly who were attacked by them succumbed to her injuries today  ,4/10/2020,False,FactCrescendo,"['vandana', 'tiwari', 'part', 'team', 'investigating', 'identifying', 'attendee', 'tablighi', 'jamaat', 'bareilly', 'attacked', 'succumbed', 'injury', 'today']","{'part': 1, 'team': 1}"
70,Virus transmission,rs      notes scattered in delhi to spread coronavirus infection   ,4/10/2020,False,FactCrescendo,"['note', 'scattered', 'delhi', 'spread', 'coronavirus', 'infection']","{'infect': 1, 'spread': 1, 'delhi': 1}"
71,Medical advice and self-treatments,israel has no deaths from covid     tea made of lemon and bicarbonate can cure coronavirus   ,4/9/2020,False,Vishvas News,"['israel', 'death', 'covid', 'made', 'lemon', 'bicarbonate', 'cure', 'coronavirus']","{'death': 1, 'cure': 1, 'israel': 1, 'lemon': 1, 'made': 1}"
72,Community spread and impact,website link in order to activate     gb free internet data   rs     talk time offer amid the covid   situation in sri lanka   ,4/9/2020,False,FactCrescendo,"['website', 'link', 'order', 'activate', 'free', 'internet', 'data', 'talk', 'time', 'offer', 'amid', 'covid', 'situation', 'lanka']","{'lanka': 1, 'amid': 1, 'data': 1, 'free': 1, 'internet': 1, 'link': 1, 'offer': 1, 'order': 1, 'situat': 1, 'time': 1}"
73,Virus transmission,some countries are dumping covid    infected dead bodies in the sea  therefore be careful while consuming sea food   ,4/9/2020,False,FactCrescendo,"['country', 'dumping', 'covid', 'infected', 'dead', 'body', 'therefore', 'careful', 'consuming', 'food']","{'infect': 1, 'bodi': 1, 'care': 1, 'consum': 1, 'countri': 1, 'dead': 1, 'food': 1}"
74,Virus origin and properties,dr charles lieber  chair of harvard university s chemistry and chemical biology department was arrested for manufacturing and selling the coronavirus to china   ,4/9/2020,False,FactCrescendo,"['charles', 'lieber', 'chair', 'harvard', 'university', 'chemistry', 'chemical', 'biology', 'department', 'arrested', 'manufacturing', 'selling', 'coronavirus', 'china']","{'china': 1, 'arrest': 1, 'biolog': 1, 'depart': 1, 'manufactur': 1, 'sell': 1, 'univers': 1}"
75,Community spread and impact,a facebook user shared a video that shows dead bodies being washed ashore at some unidentified beach   ,4/9/2020,False,Newschecker,"['user', 'shared', 'show', 'dead', 'body', 'washed', 'ashore', 'unidentified', 'beach']","{'bodi': 1, 'dead': 1, 'share': 1, 'wash': 1}"
76,"Public authority actions, policy, and communications",indian government will reduce employees  pension by     and terminate pensions offered to those who are above    as a way to divert funds towards managing health services and tackling the adverse impact of the new coronavirus pandemic   ,4/10/2020,False,FactCrescendo,"['indian', 'government', 'reduce', 'employee', 'pension', 'terminate', 'pension', 'offered', 'divert', 'fund', 'towards', 'managing', 'health', 'service', 'tackling', 'adverse', 'impact', 'coronavirus', 'pandemic']","{'offer': 1, 'employe': 1, 'fund': 1, 'govern': 1, 'health': 1, 'indian': 1, 'pandem': 1, 'reduc': 1, 'servic': 1}"
77,Medical advice and self-treatments,the new coronavirus ph varies from     to      to defeat it  we need to consume more alkaline food   ,4/10/2020,False,FactCrescendo,"['coronavirus', 'varies', 'defeat', 'need', 'consume', 'alkaline', 'food']","{'need': 1, 'consum': 1, 'food': 1, 'alkalin': 1}"
78,Community spread and impact,herd of sri lankan sambar deer s were seen freely gazing on a beach of yala national park  due to lack of human activity during current curfew period in sri lanka   ,4/9/2020,False,FactCrescendo,"['herd', 'lankan', 'sambar', 'deer', 'seen', 'freely', 'gazing', 'beach', 'yala', 'national', 'park', 'lack', 'human', 'activity', 'current', 'curfew', 'period', 'lanka']","{'nation': 1, 'curfew': 1, 'current': 1, 'lanka': 1, 'period': 1, 'human': 1, 'lankan': 1, 'seen': 1}"
79,Community spread and impact,   coronavirus patients have recovered in ghana   ,4/8/2020,False,GhanaFact,"['coronavirus', 'patient', 'recovered', 'ghana']",{'patient': 1}
80,"Public authority actions, policy, and communications",indian government deploying the army in telangana to curb the coronavirus situation  ,4/8/2020,False,FactCrescendo,"['indian', 'government', 'deploying', 'army', 'telangana', 'curb', 'coronavirus', 'situation']","{'situat': 1, 'govern': 1, 'indian': 1, 'armi': 1}"
81,Community spread and impact,family starving for food commits suicide in india during lockdown   ,4/8/2020,False,FactCrescendo,"['family', 'starving', 'food', 'commits', 'suicide', 'india', 'lockdown']","{'india': 1, 'lockdown': 1, 'food': 1, 'famili': 1}"
82,"Public authority actions, policy, and communications",all social media group admins are requested to close their groups for two days   ,4/8/2020,False,FactCrescendo,"['social', 'medium', 'group', 'admins', 'requested', 'close', 'group']","{'close': 1, 'medium': 1, 'group': 2, 'request': 1, 'social': 1}"
83,"Public preparedness, protests, and civil disobedience",american citizens have placed a nude statue of president donald trump in new york city because he failed to handle the coronavirus situation in usa   ,4/9/2020,False,FactCrescendo,"['american', 'citizen', 'placed', 'nude', 'statue', 'president', 'donald', 'trump', 'york', 'city', 'failed', 'handle', 'coronavirus', 'situation']","{'situat': 1, 'american': 1, 'citi': 1, 'citizen': 1, 'donald': 1, 'place': 1, 'presid': 1, 'trump': 1, 'york': 1}"
84,Community spread and impact,in karnataka all hindus have decided to boycott muslims because of their anti national activities   ,4/8/2020,False,The Quint,"['karnataka', 'hindu', 'decided', 'boycott', 'muslim', 'anti', 'national', 'activity']","{'nation': 1, 'anti': 1, 'muslim': 1}"
85,Conspiracy theories,a video shows a fortune teller predicting the coronavirus pandemic in december on spanish tv   ,4/8/2020,False,Observador,"['show', 'fortune', 'teller', 'predicting', 'coronavirus', 'pandemic', 'december', 'spanish']","{'pandem': 1, 'predict': 1}"
86,Virus origin and properties,a video shows that after drinking snake blood during training in thailand  us soldiers went to wuhan for the military world games  the us soldiers were the intermediate hosts of covid      ,4/9/2020,False,Taiwan FactCheck Center,"['show', 'drinking', 'snake', 'blood', 'training', 'thailand', 'soldier', 'went', 'wuhan', 'military', 'world', 'game', 'soldier', 'intermediate', 'host', 'covid']","{'wuhan': 1, 'blood': 1, 'drink': 1, 'militari': 1, 'thailand': 1, 'train': 1, 'world': 1}"
87,Claims about prominent actors,president of sri lanka has contracted covid      ,4/8/2020,False,FactCrescendo,"['president', 'lanka', 'contracted', 'covid']","{'contract': 1, 'lanka': 1, 'presid': 1}"
88,Community spread and impact,a video of dozens of people praying outdoors shows italians praying during the novel coronavirus pandemic   ,4/7/2020,False,AFP,"['dozen', 'people', 'praying', 'outdoors', 'show', 'italian', 'praying', 'novel', 'coronavirus', 'pandemic']","{'pandem': 1, 'italian': 1}"
89,"Public authority actions, policy, and communications",some countries are throwing away bodies of coronavirus patients into the sea   ,4/9/2020,False,The Quint,"['country', 'throwing', 'away', 'body', 'coronavirus', 'patient']","{'patient': 1, 'bodi': 1, 'countri': 1, 'away': 1}"
90,"Public authority actions, policy, and communications",a post says that barack obama warned africans not to accept european or american vaccines   ,4/7/2020,False,Observador,"['barack', 'obama', 'warned', 'african', 'accept', 'european', 'american', 'vaccine']","{'vaccin': 1, 'american': 1, 'african': 1, 'barack': 1, 'obama': 1, 'warn': 1}"
91,"Public authority actions, policy, and communications",black body bags being referred to as deaths in new york and the reason a lockdown is essential   ,4/7/2020,False,BOOM FactCheck,"['black', 'body', 'referred', 'death', 'york', 'reason', 'lockdown', 'essential']","{'death': 1, 'lockdown': 1, 'bodi': 1, 'york': 1, 'essenti': 1, 'refer': 1}"
92,Virus transmission,muslim owned restaurants in bengaluru have chefs brainwashed by markaz attendees and are spreading coronavirus by spitting in the food   ,4/4/2020,False,Newschecker,"['muslim', 'owned', 'restaurant', 'bengaluru', 'chef', 'brainwashed', 'markaz', 'attendee', 'spreading', 'coronavirus', 'spitting', 'food']","{'spread': 1, 'muslim': 1, 'food': 1}"
93,Community spread and impact,social media accounts purporting to represent the nigeria centre for disease control have proliferated since february  when africa s most populous country recorded its first case of covid      ,4/7/2020,False,AFP,"['social', 'medium', 'account', 'purporting', 'represent', 'nigeria', 'centre', 'disease', 'control', 'proliferated', 'since', 'february', 'africa', 'populous', 'country', 'recorded', 'first', 'case', 'covid']","{'case': 1, 'first': 1, 'medium': 1, 'countri': 1, 'social': 1, 'africa': 1, 'control': 1, 'diseas': 1, 'nigeria': 1, 'popul': 1, 'purport': 1, 'record': 1, 'sinc': 1}"
94,Conspiracy theories, g exposure radiation pollution compromises the structure and function of hemoglobin in cells and worsens covid    pandemic   ,4/11/2020,False,Science Feedback,"['exposure', 'radiation', 'pollution', 'compromise', 'structure', 'function', 'hemoglobin', 'cell', 'worsens', 'covid', 'pandemic']",{'pandem': 1}
95,"Public authority actions, policy, and communications",barack obama warned africans against vaccines from america and europe   ,4/7/2020,False,Dubawa,"['barack', 'obama', 'warned', 'african', 'vaccine', 'america', 'europe']","{'vaccin': 1, 'african': 1, 'barack': 1, 'obama': 1, 'warn': 1, 'america': 1}"
96,Conspiracy theories,coronavirus will be exterminated if lockdowns are lifted   ,4/14/2020,False,LeadStories,"['coronavirus', 'exterminated', 'lockdown', 'lifted']",{'lockdown': 1}
97,"Public authority actions, policy, and communications",the number of deaths from covid    are exaggerated   ,4/8/2020,False,LeadStories,"['number', 'death', 'covid', 'exaggerated']","{'death': 1, 'number': 1}"
98,"Public authority actions, policy, and communications",a dutch minister said that  giving money to portuguese politicians is like putting a cat in a sardines basket    ,4/7/2020,False,Observador,"['dutch', 'minister', 'said', 'giving', 'money', 'portuguese', 'politician', 'like', 'putting', 'sardine', 'basket']","{'give': 1, 'like': 1, 'minist': 1, 'money': 1, 'said': 1}"
99,Claims about prominent actors,a member of tablighi jamaat is roaming naked and misbehaving with hospital staff   ,4/9/2020,False,The Quint,"['member', 'tablighi', 'jamaat', 'roaming', 'naked', 'misbehaving', 'hospital', 'staff']","{'hospit': 1, 'member': 1, 'staff': 1}"
100,"Public authority actions, policy, and communications",a    hour covid    hotline offers essential food items during curfew in sri lanka   ,4/7/2020,False,FactCrescendo,"['hour', 'covid', 'hotline', 'offer', 'essential', 'food', 'item', 'curfew', 'lanka']","{'curfew': 1, 'lanka': 1, 'offer': 1, 'food': 1, 'essenti': 1, 'hour': 1}"
101,"Public authority actions, policy, and communications",a photo has been shared hundreds of times in multiple posts on facebook and twitter which claim it shows that packets of spice included in sri lankan government ration kits during the covid    lockdown were branded with a local political party s logo  the posts allege that the photo is evidence vulnerable people are being exploited during the pandemic for political gain   ,4/8/2020,False,AFP,"['shared', 'hundred', 'time', 'multiple', 'post', 'claim', 'show', 'packet', 'spice', 'included', 'lankan', 'government', 'ration', 'covid', 'lockdown', 'branded', 'local', 'political', 'party', 'logo', 'post', 'allege', 'evidence', 'vulnerable', 'people', 'exploited', 'pandemic', 'political', 'gain']","{'lockdown': 1, 'time': 1, 'share': 1, 'govern': 1, 'pandem': 1, 'lankan': 1, 'alleg': 1, 'evid': 1, 'hundr': 1, 'includ': 1, 'multipl': 1, 'parti': 1, 'post': 2}"
102,"Public authority actions, policy, and communications",as a special task force assembled earlier this month to help in the handling of the covid    outbreak  a photo of a tank on toronto s dundas square surfaced on social media   ,4/8/2020,False,AFP,"['special', 'task', 'force', 'assembled', 'earlier', 'month', 'help', 'handling', 'covid', 'outbreak', 'tank', 'toronto', 'dundas', 'square', 'surfaced', 'social', 'medium']","{'surfac': 1, 'medium': 1, 'social': 1, 'forc': 1, 'help': 1, 'month': 1, 'outbreak': 1}"
103,Virus transmission,video of bodies being washed ashore being shared as countries dumping their coronavirus bodies into the sea and thus requesting people to avoid sea food   ,4/7/2020,False,BOOM FactCheck,"['body', 'washed', 'ashore', 'shared', 'country', 'dumping', 'coronavirus', 'body', 'thus', 'requesting', 'people', 'avoid', 'food']","{'bodi': 2, 'countri': 1, 'food': 1, 'share': 1, 'wash': 1, 'request': 1, 'avoid': 1}"
104,Claims about prominent actors,the gandhi siblings  priyanka and rahul broke down the lockdown enforced in india and were roaming around   ,4/6/2020,False,BOOM FactCheck,"['gandhi', 'sibling', 'priyanka', 'rahul', 'broke', 'lockdown', 'enforced', 'india', 'roaming', 'around']","{'india': 1, 'lockdown': 1, 'around': 1, 'broke': 1}"
105,"Public authority actions, policy, and communications",a graphic has been shared hundreds of times in multiple posts on facebook and twitter alongside a claim that it contains a quote from britain s queen elizabeth in which she praises philippine president rodrigo duterte for his efforts to curb the novel coronavirus pandemic  the posts allege that the queen made the remarks during her televised speech on          ,4/9/2020,False,AFP,"['shared', 'hundred', 'time', 'multiple', 'post', 'alongside', 'claim', 'contains', 'quote', 'britain', 'queen', 'elizabeth', 'praise', 'philippine', 'president', 'rodrigo', 'duterte', 'effort', 'curb', 'novel', 'coronavirus', 'pandemic', 'post', 'allege', 'queen', 'made', 'remark', 'televised', 'speech']","{'made': 1, 'time': 1, 'share': 1, 'pandem': 1, 'presid': 1, 'alleg': 1, 'hundr': 1, 'multipl': 1, 'post': 2, 'alongsid': 1, 'contain': 1, 'dutert': 1, 'effort': 1, 'elizabeth': 1, 'philippin': 1, 'queen': 2, 'quot': 1, 'rodrigo': 1}"
106,Community spread and impact,owing to india lighting diyas on april    a satellite captured india as illuminated while the world was in darkness   ,4/6/2020,False,BOOM FactCheck,"['owing', 'india', 'lighting', 'diyas', 'april', 'satellite', 'captured', 'india', 'illuminated', 'world', 'darkness']","{'india': 2, 'world': 1, 'april': 1}"
107,"Public authority actions, policy, and communications",the who has issued a protocol for lockdown extension providing a relaxation period of five days   ,4/6/2020,False,FactCrescendo,"['issued', 'protocol', 'lockdown', 'extension', 'providing', 'relaxation', 'period', 'five']","{'issu': 1, 'lockdown': 1, 'period': 1, 'provid': 1}"
108,"Public authority actions, policy, and communications",queen elizabeth said philippine president rodrigo duterte  is the kind of leader who knows the way   filipinos are very lucky to have him    ,4/7/2020,False,PolitiFact,"['queen', 'elizabeth', 'said', 'philippine', 'president', 'rodrigo', 'duterte', 'kind', 'leader', 'know', 'filipino', 'lucky']","{'presid': 1, 'said': 1, 'dutert': 1, 'elizabeth': 1, 'philippin': 1, 'queen': 1, 'rodrigo': 1, 'know': 1}"
109,"Public authority actions, policy, and communications", the north carolina and virginia state line is closed  nothing in or out    ,4/8/2020,False,PolitiFact,"['north', 'carolina', 'virginia', 'state', 'line', 'closed', 'nothing']","{'close': 1, 'state': 1, 'line': 1, 'north': 1}"
110,Community spread and impact,a man in italy killed himself after he lost his family to the coronavirus   ,4/9/2020,False,The Quint,"['italy', 'killed', 'lost', 'family', 'coronavirus']","{'kill': 1, 'famili': 1, 'itali': 1, 'lost': 1}"
