,Claim,Keywords
91,Black body bags being referred to as deaths in New York and the reason a lockdown is essential   ,"['black', 'body', 'referred', 'death', 'york', 'reason', 'lockdown', 'essential']"
92,Muslim owned restaurants in Bengaluru have chefs brainwashed by Markaz attendees and are spreading Coronavirus by spitting in the food   ,"['muslim', 'owned', 'restaurant', 'bengaluru', 'chef', 'brainwashed', 'markaz', 'attendee', 'spreading', 'coronavirus', 'spitting', 'food']"
93,Social media accounts purporting to represent the Nigeria Centre for Disease Control have proliferated since February  when Africa s most populous country recorded its first case of COVID      ,"['social', 'medium', 'account', 'purporting', 'represent', 'nigeria', 'centre', 'disease', 'control', 'proliferated', 'since', 'february', 'africa', 'populous', 'country', 'recorded', 'first', 'case', 'covid']"
94, G exposure radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID    pandemic   ,"['exposure', 'radiation', 'pollution', 'compromise', 'structure', 'function', 'hemoglobin', 'cell', 'worsens', 'covid', 'pandemic']"
95,Barack Obama warned Africans against vaccines from America and Europe   ,"['barack', 'obama', 'warned', 'african', 'vaccine', 'america', 'europe']"
96,Coronavirus will be exterminated if lockdowns are lifted   ,"['coronavirus', 'exterminated', 'lockdown', 'lifted']"
97,The number of deaths from COVID    are exaggerated   ,"['number', 'death', 'covid', 'exaggerated']"
98,A Dutch minister said that  giving money to Portuguese politicians is like putting a cat in a sardines basket    ,"['dutch', 'minister', 'said', 'giving', 'money', 'portuguese', 'politician', 'like', 'putting', 'sardine', 'basket']"
99,A member of Tablighi Jamaat is roaming naked and misbehaving with hospital staff   ,"['member', 'tablighi', 'jamaat', 'roaming', 'naked', 'misbehaving', 'hospital', 'staff']"
100,A    hour COVID    hotline offers essential food items during curfew in Sri Lanka   ,"['hour', 'covid', 'hotline', 'offer', 'essential', 'food', 'item', 'curfew', 'lanka']"
101,A photo has been shared hundreds of times in multiple posts on Facebook and Twitter which claim it shows that packets of spice included in Sri Lankan government ration kits during the COVID    lockdown were branded with a local political party s logo  The posts allege that the photo is evidence vulnerable people are being exploited during the pandemic for political gain   ,"['shared', 'hundred', 'time', 'multiple', 'post', 'facebook', 'twitter', 'claim', 'show', 'packet', 'spice', 'included', 'lankan', 'government', 'ration', 'covid', 'lockdown', 'branded', 'local', 'political', 'party', 'logo', 'post', 'allege', 'evidence', 'vulnerable', 'people', 'exploited', 'pandemic', 'political', 'gain']"
102,As a special task force assembled earlier this month to help in the handling of the COVID    outbreak  a photo of a tank on Toronto s Dundas Square surfaced on social media   ,"['special', 'task', 'force', 'assembled', 'earlier', 'month', 'help', 'handling', 'covid', 'outbreak', 'tank', 'toronto', 'dundas', 'square', 'surfaced', 'social', 'medium']"
103,Video of bodies being washed ashore being shared as countries dumping their coronavirus bodies into the sea and thus requesting people to avoid sea food   ,"['video', 'body', 'washed', 'ashore', 'shared', 'country', 'dumping', 'coronavirus', 'body', 'thus', 'requesting', 'people', 'avoid', 'food']"
104,The Gandhi siblings  Priyanka and Rahul broke down the lockdown enforced in India and were roaming around   ,"['gandhi', 'sibling', 'priyanka', 'rahul', 'broke', 'lockdown', 'enforced', 'india', 'roaming', 'around']"
105,A graphic has been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim that it contains a quote from Britain s Queen Elizabeth in which she praises Philippine President Rodrigo Duterte for his efforts to curb the novel coronavirus pandemic  The posts allege that the queen made the remarks during her televised speech on          ,"['shared', 'hundred', 'time', 'multiple', 'post', 'facebook', 'twitter', 'alongside', 'claim', 'contains', 'quote', 'britain', 'queen', 'elizabeth', 'praise', 'philippine', 'president', 'rodrigo', 'duterte', 'effort', 'curb', 'novel', 'coronavirus', 'pandemic', 'post', 'allege', 'queen', 'made', 'remark', 'televised', 'speech']"
106,Owing to India lighting diyas on April    a satellite captured India as illuminated while the world was in darkness   ,"['owing', 'india', 'lighting', 'diyas', 'april', 'satellite', 'captured', 'india', 'illuminated', 'world', 'darkness']"
107,The WHO has issued a protocol for lockdown extension providing a relaxation period of five days   ,"['issued', 'protocol', 'lockdown', 'extension', 'providing', 'relaxation', 'period', 'five']"
108,Queen Elizabeth said Philippine President Rodrigo Duterte  is the kind of leader who knows the way   Filipinos are very lucky to have him    ,"['queen', 'elizabeth', 'said', 'philippine', 'president', 'rodrigo', 'duterte', 'kind', 'leader', 'know', 'filipino', 'lucky']"
109, The North Carolina and Virginia State line is closed  Nothing in or out    ,"['north', 'carolina', 'virginia', 'state', 'line', 'closed', 'nothing']"
110,A man in Italy killed himself after he lost his family to the coronavirus   ,"['italy', 'killed', 'lost', 'family', 'coronavirus']"
111,    people die as pastor gives them Dettol to drink in church to prevent coronavirus    ,"['people', 'pastor', 'give', 'dettol', 'drink', 'church', 'prevent', 'coronavirus']"
112,A video of fire is shared with the claim that a fire erupted at Solapur Airport in Maharashtra state due to firecrackers on        at  p m   ,"['fire', 'shared', 'claim', 'fire', 'erupted', 'solapur', 'airport', 'maharashtra', 'state', 'firecracker']"
113,The Disaster Management Act has been implemented across India  As per the act  apart from the government departments  no other citizen is allowed to post or share any forward related to the novel coronavirus   ,"['disaster', 'management', 'implemented', 'across', 'india', 'apart', 'government', 'department', 'citizen', 'allowed', 'share', 'forward', 'related', 'novel', 'coronavirus']"
114,A claim has been shared thousands of times on Facebook and Twitter in Sri Lanka that the ruler of Sharjah  one of the seven emirates of the United Arab Emirates  UAE   banned burials of people who died after contracting the novel coronavirus   ,"['claim', 'shared', 'thousand', 'time', 'facebook', 'twitter', 'lanka', 'ruler', 'sharjah', 'seven', 'emirate', 'united', 'arab', 'emirate', 'banned', 'burial', 'people', 'died', 'contracting', 'novel', 'coronavirus']"
115,Amid COVID    lockdown  the Himalayan Mountain Range is visible from the Puttalam area in Sri Lanka   ,"['amid', 'covid', 'lockdown', 'himalayan', 'mountain', 'range', 'visible', 'puttalam', 'area', 'lanka']"
116,A poem about people staying home was written by Kathleen O Mara in        ,"['poem', 'people', 'staying', 'home', 'written', 'kathleen', 'mara']"
117,Hospital is caught using a dummy in pandemic footage   ,"['hospital', 'caught', 'using', 'dummy', 'pandemic', 'footage']"
118,Photo of a mannequin being wheeled into a hospital shows the COVID    coverup   ,"['photo', 'mannequin', 'wheeled', 'hospital', 'show', 'covid', 'coverup']"
119,Video suggesting that a man is spitting on bread to spread coronavirus   ,"['video', 'suggesting', 'spitting', 'bread', 'spread', 'coronavirus']"
120,Former NYC Mayor Rudolph Giuliani said he  bought   M in shares of Novartis  a primary supplier of hydroxychloroquine  in early February   ,"['former', 'mayor', 'rudolph', 'giuliani', 'said', 'bought', 'share', 'novartis', 'primary', 'supplier', 'hydroxychloroquine', 'early', 'february']"
121,Coronavirus is fake or a made up ploy by  G   ,"['coronavirus', 'fake', 'made', 'ploy']"
122,A video has been viewed tens of thousands of times in multiple posts on Facebook  Weibo and Twitter that claim it shows people who committed suicide in the U S  after contracting COVID      ,"['viewed', 'thousand', 'time', 'multiple', 'post', 'facebook', 'weibo', 'twitter', 'claim', 'show', 'people', 'committed', 'suicide', 'contracting', 'covid']"
123, In Italy  they have thrown their money on the streets  A clear message to the whole world that money is not enough when health is in danger    ,"['italy', 'thrown', 'money', 'street', 'clear', 'message', 'whole', 'world', 'money', 'enough', 'health', 'danger']"
124,This is the video of Congress leaders Rahul and Priyanka Gandhi breaking coronavirus lockdown by stepping out   ,"['this', 'congress', 'leader', 'rahul', 'priyanka', 'gandhi', 'breaking', 'coronavirus', 'lockdown', 'stepping']"
125,Coronavirus death toll in the U S  is inflated by inclusion of unrelated deaths   ,"['coronavirus', 'death', 'toll', 'inflated', 'inclusion', 'unrelated', 'death']"
126,People are handing out masks  doused with chemicals which knocks you out cold  so they can rob you   ,"['people', 'handing', 'mask', 'doused', 'chemical', 'knock', 'cold']"
127,The NBA is asking President Donald Trump to  resign or we ll never play again    ,"['asking', 'president', 'donald', 'trump', 'resign', 'never', 'play']"
128,A viral video showing some men assaulting a policeman is being shared with the claim that it is from Agripada  Mumbai  Indiaa    ,"['viral', 'showing', 'assaulting', 'policeman', 'shared', 'claim', 'agripada', 'mumbai', 'indiaa']"
129,Sri Lankan police made an announcement stating that citizens are not allowed to post any update or share any forward related to coronavirus and it being a punishable offense   ,"['lankan', 'police', 'made', 'announcement', 'stating', 'citizen', 'allowed', 'update', 'share', 'forward', 'related', 'coronavirus', 'punishable', 'offense']"
130,President Donald Trump s statement that lupus patients are not vulnerable to COVID    is not true   ,"['president', 'donald', 'trump', 'statement', 'lupus', 'patient', 'vulnerable', 'covid', 'true']"
131,Barack Obama has urged Africans to reject any COVID    vaccine produced by the United States and Europe   ,"['barack', 'obama', 'urged', 'african', 'reject', 'covid', 'vaccine', 'produced', 'united', 'state', 'europe']"
132,China supplied   million masks to Africa  WHO says Africa must  should  prepare for the worst  China plans to distribute  infected  masks   ,"['china', 'supplied', 'million', 'mask', 'africa', 'africa', 'must', 'prepare', 'worst', 'china', 'plan', 'distribute', 'infected', 'mask']"
133,Brazilians lighting candles after PM Modi s call to stand in solidarity against the coronavirus   ,"['brazilian', 'lighting', 'candle', 'modi', 'call', 'stand', 'solidarity', 'coronavirus']"
134,A poem about people self isolating at home has been shared thousands of times on Facebook and Twitter in April      alongside a claim that it was written in the   th century and reprinted during the      Spanish flu pandemic  The posts  published as the world continued to endure the spread of the novel coronavirus  claim the poem is evidence that  history repeats itself    ,"['poem', 'people', 'self', 'isolating', 'home', 'shared', 'thousand', 'time', 'facebook', 'twitter', 'april', 'alongside', 'claim', 'written', 'century', 'reprinted', 'spanish', 'pandemic', 'post', 'published', 'world', 'continued', 'endure', 'spread', 'novel', 'coronavirus', 'claim', 'poem', 'evidence', 'history', 'repeat']"
135,Photo of an Italian doctor waving goodbye to co doctors as he is about to die due to coronavirus   ,"['photo', 'italian', 'doctor', 'waving', 'goodbye', 'doctor', 'coronavirus']"
136,A claim that data from a hospital in the Philippines shows a correlation between grocery shopping and COVID    has been shared more than       times on Facebook and Twitter   ,"['claim', 'data', 'hospital', 'philippine', 'show', 'correlation', 'grocery', 'shopping', 'covid', 'shared', 'time', 'facebook', 'twitter']"
137,Video posts viewed thousands of times purport to show South Africa s President Cyril Ramaphosa announcing an alleged    day lockdown   ,"['video', 'post', 'viewed', 'thousand', 'time', 'purport', 'show', 'south', 'africa', 'president', 'cyril', 'ramaphosa', 'announcing', 'alleged', 'lockdown']"
138,A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India   ,"['viral', 'apparently', 'showing', 'muslim', 'devotee', 'sneezing', 'circulated', 'claim', 'nizamuddin', 'mosque', 'delhi', 'deliberately', 'trying', 'infected', 'order', 'spread', 'coronavirus', 'india']"
139,Ten point bulletin message purported to be from President Gotabaya to be followed during COVID    outbreak   ,"['point', 'bulletin', 'message', 'purported', 'president', 'gotabaya', 'followed', 'covid', 'outbreak']"
140,A viral screenshot of a story allegedly published by the BBC claiming Ghana has recorded its first confirmed coronavirus case   ,"['viral', 'story', 'allegedly', 'published', 'claiming', 'ghana', 'recorded', 'first', 'confirmed', 'coronavirus', 'case']"
141,Multiple posts on Facebook and Twitter claim the World Health Organization  WHO  has warned against eating cabbage during the novel coronavirus pandemic   ,"['multiple', 'post', 'facebook', 'twitter', 'claim', 'world', 'health', 'organization', 'warned', 'eating', 'cabbage', 'novel', 'coronavirus', 'pandemic']"
142,A claim that police in Thailand can issue fines to anyone who does not wear a face mask in public during the novel coronavirus pandemic has been shared repeatedly on Facebook  Twitter and Line Messenger   ,"['claim', 'police', 'thailand', 'issue', 'fine', 'anyone', 'wear', 'face', 'mask', 'public', 'novel', 'coronavirus', 'pandemic', 'shared', 'repeatedly', 'facebook', 'twitter', 'line', 'messenger']"
143,A video shows a truck dropping bodies covered with plastic into a ditch and claiming that this is the situation in Italy right now   ,"['show', 'truck', 'dropping', 'body', 'covered', 'plastic', 'ditch', 'claiming', 'situation', 'italy', 'right']"
144,U S  President Donald Trump or presidential candidate Joe Biden referred to the novel coronavirus pandemic as a time when  people are dying that have never died before    ,"['president', 'donald', 'trump', 'presidential', 'candidate', 'biden', 'referred', 'novel', 'coronavirus', 'pandemic', 'time', 'people', 'dying', 'never', 'died']"
145,Social activist Trupti Desai was caught illegally buying liquor during the lockdown and was detained by the police   ,"['social', 'activist', 'trupti', 'desai', 'caught', 'illegally', 'buying', 'liquor', 'lockdown', 'detained', 'police']"
146,Posts shared more than        times on Facebook feature a photo of a crying child and two others showing a woman and a man in hospital beds  claiming that the boy s parents are infected with the novel coronavirus  ,"['post', 'shared', 'time', 'facebook', 'feature', 'child', 'others', 'showing', 'woman', 'hospital', 'claiming', 'parent', 'infected', 'novel', 'coronavirus']"
147,Posts on social media claim there is a US patent for the novel coronavirus and a European patent for a vaccine  citing specific patent numbers   ,"['post', 'social', 'medium', 'claim', 'patent', 'novel', 'coronavirus', 'european', 'patent', 'vaccine', 'citing', 'specific', 'patent', 'number']"
148,Facebook posts shared thousands of times recommend various practices to prevent COVID     including gargling salt water  drinking tea and avoiding ice cream   ,"['facebook', 'post', 'shared', 'thousand', 'time', 'recommend', 'various', 'practice', 'prevent', 'covid', 'including', 'gargling', 'salt', 'water', 'drinking', 'avoiding', 'cream']"
149,Image of a herd of deer sitting on a street interpreted as different locations in Sri Lanka and India   ,"['image', 'herd', 'deer', 'sitting', 'street', 'interpreted', 'different', 'location', 'lanka', 'india']"
150, if your child gets this virus  they re going to the hospital alone in a van with people they don t know  to be with people they don t know  You will be at home without them in their time of need    ,"['child', 'virus', 'going', 'hospital', 'alone', 'people', 'know', 'people', 'know', 'home', 'without', 'time', 'need']"
151, They re furloughing nurses in hospitals in western New York state    ,"['they', 'furloughing', 'nurse', 'hospital', 'western', 'york', 'state']"
152,A Facebook post in Australia claims sufferers of respiratory conditions can access a  rescue pack  of medication by asking a general practitioner   ,"['facebook', 'australia', 'claim', 'sufferer', 'respiratory', 'condition', 'access', 'rescue', 'pack', 'medication', 'asking', 'general', 'practitioner']"
153, Queen Elizabeth tests positive for COVID       ,"['queen', 'elizabeth', 'test', 'positive', 'covid']"
154,Posting anything on coronavirus will be a punishable offense because the Disaster Management Act has been implemented   ,"['posting', 'anything', 'coronavirus', 'punishable', 'offense', 'disaster', 'management', 'implemented']"
155,   nations  including the US and the UK  want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic   ,"['nation', 'including', 'want', 'indian', 'prime', 'minister', 'narendra', 'modi', 'leader', 'task', 'force', 'combat', 'coronavirus', 'pandemic']"
156,Says COVID    remains in the air for eight hours and that everyone is now required to wear masks  everywhere    ,"['covid', 'remains', 'eight', 'hour', 'everyone', 'required', 'wear', 'mask', 'everywhere']"
157,Trupti Desai  a well known social activist from India  was arrested for illegally buying liquor during the COVID    lockdown   ,"['trupti', 'desai', 'well', 'known', 'social', 'activist', 'india', 'arrested', 'illegally', 'buying', 'liquor', 'covid', 'lockdown']"
158,The Disaster Management Act      is going to be implemented in India  no citizen is allowed to post any update or share any forward related to COVID      ,"['disaster', 'management', 'going', 'implemented', 'india', 'citizen', 'allowed', 'update', 'share', 'forward', 'related', 'covid']"
159,It is predicted that using Turmeric can cure coronavirus in India in a newborn baby suffering from birth defects   ,"['predicted', 'using', 'turmeric', 'cure', 'coronavirus', 'india', 'newborn', 'baby', 'suffering', 'birth', 'defect']"
160,Indian state of Madhya Pradesh s government has issued an order to shoot at sight due to failure at lockdown implementation   ,"['indian', 'state', 'madhya', 'pradesh', 'government', 'issued', 'order', 'shoot', 'sight', 'failure', 'lockdown', 'implementation']"
161,Rubbing mustard oil on your nostrils can prevent coronavirus   ,"['rubbing', 'mustard', 'nostril', 'prevent', 'coronavirus']"
162,PM Modi on        announced extension of a nationwide lockdown until          ,"['modi', 'announced', 'extension', 'nationwide', 'lockdown']"
163,Italian Prime Minister Giuseppe Conte broke down amid COVID    deaths in his country   ,"['italian', 'prime', 'minister', 'giuseppe', 'conte', 'broke', 'amid', 'covid', 'death', 'country']"
164,The WHO reported that coronavirus lasts up to   hours on cabbages  thus  cabbage consumption should be restricted   ,"['reported', 'coronavirus', 'last', 'hour', 'cabbage', 'thus', 'cabbage', 'consumption', 'restricted']"
165,PM Modi announced internet suspension due to viral fake news related to COVID      ,"['modi', 'announced', 'internet', 'suspension', 'viral', 'fake', 'news', 'related', 'covid']"
